0	0.377719	0.4s
100	0.097119	25.6s
200	0.047651	50.3s
300	0.035446	75.8s
400	0.030275	101.3s
500	0.029189	125.2s
600	0.020205	149.2s
700	0.017333	174.0s
800	0.014828	197.9s
900	0.016479	223.8s
1000	0.011744	248.4s
1100	0.014226	271.9s
1200	0.009688	295.1s
1300	0.013175	319.4s
1400	0.009595	342.9s
1500	0.008543	370.6s
1600	0.007085	396.2s
1700	0.010090	420.9s
1800	0.007406	444.8s
1900	0.006948	469.7s
2000	0.005560	497.4s
2100	0.004954	521.9s
2200	0.003444	547.3s
2300	0.003598	571.6s
2400	0.005576	596.0s
2500	0.003257	620.9s
2600	0.005251	645.0s
2700	0.003142	676.7s
2800	0.004026	701.5s
2900	0.003764	726.4s
3000	0.003010	751.4s
3100	0.003544	775.8s
3200	0.003196	800.6s
3300	0.003770	824.3s
3400	0.003444	848.4s
3500	0.006285	871.9s
3600	0.002598	896.4s
3700	0.005911	924.8s
3800	0.004100	949.8s
3900	0.002804	976.5s
4000	0.003441	1001.0s
4100	0.003601	1025.9s
4200	0.003031	1053.5s
4300	0.005262	1081.8s
4400	0.002634	1109.5s
4500	0.003296	1133.7s
4600	0.002662	1158.0s
4700	0.003043	1181.4s
4800	0.003411	1205.4s
4900	0.003213	1229.9s
5000	0.002960	1253.7s
5100	0.003363	1277.7s
5200	0.002300	1304.1s
5300	0.004030	1329.4s
5400	0.003230	1358.1s
5500	0.003564	1386.2s
5600	0.004332	1411.7s
5700	0.003812	1437.7s
5800	0.003065	1462.6s
5900	0.002890	1488.2s
6000	0.003089	1513.0s
6100	0.004623	1537.1s
6200	0.003073	1561.0s
6300	0.003736	1587.0s
6400	0.003427	1611.9s
6500	0.002769	1637.4s
6600	0.003406	1662.4s
6700	0.002576	1686.8s
6800	0.003239	1711.6s
6900	0.005467	1737.4s
7000	0.003487	1762.8s
7100	0.002801	1788.8s
7200	0.003880	1814.3s
7300	0.003061	1842.1s
7400	0.002877	1874.0s
7500	0.002567	1903.8s
7600	0.002863	1929.5s
7700	0.002847	1954.7s
7800	0.002524	1980.3s
7900	0.005787	2004.4s
7999	0.002423	2029.0s
exported 8336 params, 33344 bytes → /Users/joaco/Developer/local-rules/public/weights/mushroom.bin
