warm-started from public/weights/butterfly.bin
0	0.178886	0.8s
100	0.027007	25.2s
200	0.010414	49.5s
300	0.005428	74.6s
400	0.004814	99.8s
500	0.005654	125.0s
600	0.006374	150.0s
700	0.004694	175.6s
800	0.003296	201.8s
900	0.002929	228.8s
1000	0.002879	255.1s
1100	0.003642	281.3s
1200	0.002846	307.2s
1300	0.001404	334.2s
1400	0.002095	359.9s
1500	0.001710	386.4s
1600	0.002153	413.1s
1700	0.003263	439.0s
1800	0.003054	464.8s
1900	0.001368	490.6s
2000	0.001535	517.3s
2100	0.001137	543.4s
2200	0.000902	569.3s
2300	0.000619	594.8s
2400	0.000934	618.8s
2500	0.000401	642.8s
2600	0.000477	666.8s
2700	0.000493	690.8s
2800	0.000518	715.2s
2900	0.000410	740.1s
3000	0.000142	765.2s
3100	0.000247	789.3s
3200	0.000166	813.7s
3300	0.000653	837.8s
3400	0.000414	861.9s
3500	0.000554	886.6s
3600	0.000295	911.2s
3700	0.000555	935.2s
3800	0.000521	959.7s
3900	0.000662	983.9s
4000	0.000165	1008.2s
4100	0.000367	1032.8s
4200	0.000217	1058.6s
4300	0.000264	1084.5s
4400	0.000182	1109.6s
4500	0.000556	1134.1s
4600	0.000174	1159.3s
4700	0.000199	1184.7s
4800	0.000611	1209.1s
4900	0.000208	1234.1s
5000	0.000178	1258.7s
5100	0.000258	1283.0s
5200	0.000188	1307.6s
5300	0.000335	1332.7s
5400	0.000090	1358.3s
5500	0.000129	1382.5s
5600	0.000380	1406.9s
5700	0.000212	1431.3s
5800	0.000326	1455.2s
5900	0.000193	1479.6s
6000	0.000180	1504.5s
6100	0.000096	1528.8s
6200	0.000130	1553.9s
6300	0.000216	1579.4s
6400	0.000312	1605.3s
6500	0.000135	1631.1s
6600	0.000202	1657.2s
6700	0.000171	1683.3s
6800	0.000174	1710.4s
6900	0.000776	1744.9s
7000	0.000189	1783.5s
7100	0.000181	1830.6s
7200	0.000342	1885.1s
7300	0.000196	1917.8s
7400	0.000193	1944.4s
7500	0.000284	1977.3s
7600	0.000265	2012.3s
7700	0.000224	2062.1s
7800	0.000246	2087.6s
7900	0.000402	2113.6s
7999	0.000204	2141.1s
exported 8336 params, 33344 bytes → /Users/joaco/Developer/local-rules/public/weights/heart.bin
