0	0.122551	1.1s
100	0.122456	29.1s
200	0.122456	54.1s
300	0.122456	78.3s
400	0.122456	102.2s
500	0.122456	129.1s
600	0.122456	162.5s
700	0.122456	186.8s
800	0.122456	210.4s
900	0.122456	234.7s
1000	0.122456	258.9s
1100	0.122456	283.9s
1200	0.122456	319.5s
1300	0.122456	346.7s
1400	0.122456	370.5s
1500	0.122456	395.4s
1600	0.122456	422.6s
1700	0.122456	450.1s
1800	0.122456	475.4s
1900	0.122456	502.7s
2000	0.122456	532.0s
2100	0.122456	556.4s
2200	0.122456	579.7s
2300	0.122456	603.6s
2400	0.122456	627.6s
2500	0.122456	652.3s
2600	0.122456	676.3s
2700	0.122456	700.1s
2800	0.122456	723.5s
2900	0.122456	746.7s
3000	0.122456	770.5s
3100	0.122456	794.8s
3200	0.122456	820.0s
3300	0.122456	844.9s
3400	0.122456	872.7s
3500	0.122456	900.7s
3600	0.122456	924.6s
3700	0.122456	948.0s
3800	0.122456	972.0s
3900	0.122456	996.0s
4000	0.122456	1020.2s
4100	0.122456	1048.1s
4200	0.122456	1075.6s
4300	0.122456	1099.7s
4400	0.122456	1124.1s
4500	0.122456	1157.3s
4600	0.122456	1185.8s
4700	0.122456	1210.5s
4800	0.122456	1235.9s
4900	0.122456	1259.9s
5000	0.122456	1284.2s
5100	0.122456	1308.8s
5200	0.122456	1338.3s
5300	0.122456	1369.3s
5400	0.122456	1396.8s
5500	0.122456	1421.9s
5600	0.122456	1448.0s
5700	0.122456	1472.4s
5800	0.122456	1499.4s
5900	0.122456	1527.7s
6000	0.122456	1553.8s
6100	0.122456	1577.8s
6200	0.122456	1601.6s
6300	0.122456	1625.9s
6400	0.122456	1650.2s
6500	0.122456	1674.9s
6600	0.122456	1700.9s
6700	0.122456	1725.9s
6800	0.122456	1749.7s
6900	0.122456	1773.4s
7000	0.122456	1797.9s
7100	0.122456	1822.3s
7200	0.122456	1846.4s
7300	0.122456	1870.6s
7400	0.122456	1895.5s
7500	0.122456	1922.9s
7600	0.122456	1947.2s
7700	0.122456	1971.4s
7800	0.122456	1996.2s
7900	0.122456	2020.3s
7999	0.122456	2044.6s
exported 8336 params, 33344 bytes → /Users/joaco/Developer/local-rules/public/weights/lizard.bin
