0	0.244886	1.2s
100	0.104325	31.5s
200	0.071082	65.3s
300	0.079127	92.5s
400	0.044904	125.4s
500	0.035370	154.5s
600	0.039259	183.4s
700	0.038428	213.6s
800	0.037781	242.1s
900	0.025201	270.3s
1000	0.022630	302.6s
1100	0.030200	334.4s
1200	0.017031	363.7s
1300	0.038640	393.2s
1400	0.019725	421.0s
1500	0.012472	450.5s
1600	0.021789	480.1s
1700	0.023721	509.2s
1800	0.011556	537.2s
1900	0.015382	565.7s
2000	0.009966	600.1s
2100	0.016615	629.0s
2200	0.004592	658.5s
2300	0.006438	686.8s
2400	0.004676	715.0s
2500	0.003471	743.6s
2600	0.003736	772.4s
2700	0.005060	801.9s
2800	0.010104	830.2s
2900	0.004592	859.7s
3000	0.004541	887.9s
